,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,MG1,MG2
208,1,0,18,1,1,1,4,3,3,5,1,1,1,2,0,0,1,1,0,1,1,1,1,3,1,2,1,3,2,21,17,18
209,1,1,15,1,1,1,4,4,5,1,2,1,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,11,13
210,1,1,17,1,0,1,4,4,1,5,2,2,1,2,0,0,1,1,1,1,1,1,0,4,4,4,1,3,5,0,13,11
211,0,1,18,0,1,1,4,2,5,5,1,1,2,1,1,0,0,1,0,1,1,0,0,5,4,3,4,3,3,14,6,5
212,1,1,15,1,1,1,4,4,2,3,1,2,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11
213,1,1,17,0,1,1,2,2,5,5,3,1,2,2,0,0,1,1,1,1,1,1,0,4,5,2,1,1,1,4,11,11
214,1,1,17,1,0,1,2,3,3,3,2,1,1,2,0,0,1,1,0,0,1,1,0,5,3,3,1,3,3,2,12,11
215,1,1,16,1,0,1,4,3,2,5,1,1,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10
216,0,0,18,0,0,0,1,4,4,5,3,2,3,2,0,0,0,0,0,1,1,0,1,4,3,4,1,4,5,0,13,13
217,1,0,17,0,1,1,3,4,4,3,3,1,1,3,0,0,1,1,1,0,1,1,0,4,3,4,2,5,5,0,11,11
218,0,0,18,0,1,1,4,4,1,4,2,2,3,1,0,0,1,1,1,1,1,1,1,4,4,3,2,2,5,7,6,5
219,1,1,17,1,1,1,2,1,5,5,1,2,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,5,0
220,1,1,16,0,1,1,4,2,1,3,4,2,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,10,8
221,0,1,18,0,0,1,1,1,4,5,4,2,2,2,1,0,0,0,1,0,0,0,0,4,4,3,2,3,5,2,13,12
222,1,0,18,0,1,0,3,2,5,3,1,2,2,2,0,0,0,0,0,0,0,1,1,4,1,1,1,1,5,75,10,9
223,1,1,15,1,1,1,4,0,1,5,3,2,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11
224,1,1,15,1,1,0,2,2,5,5,1,0,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16
225,1,1,15,1,1,1,2,2,3,3,3,1,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8
226,1,1,16,1,1,1,4,3,2,3,2,2,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19
227,0,1,18,0,1,1,2,1,5,5,4,2,2,1,0,0,0,0,1,0,1,1,1,4,4,3,1,3,5,5,7,6
228,1,1,15,1,1,1,4,4,3,3,2,2,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16
229,1,1,15,1,0,1,3,3,5,5,3,2,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10
230,1,0,15,1,1,1,3,2,3,5,1,2,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,7,6
231,1,1,17,1,0,0,3,2,1,3,1,2,1,1,1,0,0,0,0,1,1,1,0,4,4,4,3,4,3,19,11,9
232,1,1,16,1,1,1,4,4,1,1,3,2,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,7,6
233,1,0,15,1,1,1,4,2,2,3,1,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,15,14
234,1,0,19,0,1,1,2,3,5,5,2,0,1,3,1,0,0,0,0,1,1,1,1,4,1,2,1,1,3,40,13,11
235,1,0,16,0,1,1,3,3,3,5,2,1,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,7,10
236,1,1,17,1,1,1,3,1,3,5,4,2,1,2,0,0,0,1,1,1,1,1,1,5,4,4,3,4,5,2,9,9
237,1,0,15,1,1,0,4,3,3,3,2,2,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15
238,1,1,15,1,1,1,4,4,1,2,2,2,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15
239,0,0,17,0,1,1,1,1,5,3,2,2,3,1,1,0,1,1,0,1,1,1,1,5,2,1,1,2,1,0,7,6
240,0,0,18,1,1,1,1,1,5,5,3,2,2,2,1,0,0,0,1,1,1,0,0,1,1,1,1,1,5,0,6,5
241,1,0,19,1,1,1,0,1,4,5,3,0,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,7,8
242,1,0,16,1,0,1,4,3,1,3,3,2,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15
243,1,0,16,1,0,1,2,2,3,3,3,2,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13
244,1,0,17,1,1,1,3,4,3,5,3,2,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,16,16,15
245,1,1,16,0,1,0,4,4,5,1,2,2,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16
246,1,1,15,1,1,1,3,4,5,5,1,2,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15
247,1,1,18,1,1,1,2,2,5,3,2,1,1,2,1,0,0,0,0,1,0,1,0,5,5,4,3,5,2,0,7,7
248,1,1,16,0,1,1,3,3,3,3,2,2,1,1,0,0,1,0,1,1,1,1,0,4,3,2,3,4,5,8,8,9
249,1,0,18,1,1,1,2,3,4,5,3,2,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,3,4,11,10
250,1,0,15,1,1,1,4,4,3,1,4,1,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7
251,0,0,18,0,0,1,4,4,1,3,3,2,1,2,0,0,0,1,1,1,1,1,0,5,4,3,3,4,2,4,8,9
252,1,0,17,1,0,1,4,3,2,5,2,1,1,2,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,14,13,13
253,1,1,18,0,0,1,3,2,3,5,2,2,2,3,0,0,1,1,1,1,1,1,0,5,4,2,1,1,4,8,14,13
254,1,0,16,1,1,1,4,4,2,2,2,2,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,14,14
255,1,1,16,1,0,1,1,1,5,5,1,2,2,2,0,0,1,1,0,1,1,1,0,3,4,2,1,1,5,18,9,7
256,1,0,17,1,1,1,2,2,4,4,3,2,1,3,0,0,1,1,1,1,1,1,0,4,3,3,1,1,4,4,9,10
257,1,0,16,1,1,1,2,2,5,5,2,2,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,11
258,1,1,15,1,0,1,1,2,5,4,1,1,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10
259,1,0,16,1,1,1,2,2,3,5,2,2,2,2,0,0,0,1,1,0,1,1,0,3,4,4,1,4,5,2,13,13
260,0,1,19,0,1,1,1,1,5,3,1,0,3,2,3,0,0,0,0,1,1,1,0,5,4,4,3,3,2,8,8,7
261,1,0,17,1,1,1,4,3,2,3,2,2,1,3,0,0,1,1,0,1,1,1,0,4,2,2,1,2,3,0,15,15
262,1,1,17,0,1,1,2,1,5,5,3,2,1,1,0,0,0,0,0,0,1,1,0,4,4,2,2,4,5,0,8,12
263,0,0,19,0,1,1,2,3,3,5,3,2,1,3,1,0,0,0,1,0,1,1,0,5,4,2,1,2,5,0,7,5
264,1,0,17,1,1,1,2,4,4,2,2,2,2,2,0,0,1,1,0,1,1,1,1,4,3,3,1,1,1,2,10,10
265,1,1,17,1,0,1,4,3,2,5,3,2,2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,14,12,12
266,1,0,16,1,1,1,4,4,1,3,1,2,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,0,13,13
267,1,1,15,1,0,1,2,2,3,3,1,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15
268,1,0,18,1,1,1,4,4,2,2,2,1,1,2,1,1,1,0,1,1,1,1,1,2,4,4,1,1,4,15,9,8
269,1,1,16,1,1,1,4,4,3,1,4,1,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,16,17
270,1,1,15,1,1,1,4,3,1,5,3,2,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10
271,1,1,16,1,1,1,1,2,3,3,4,2,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,11,12
272,1,1,18,0,1,1,4,3,1,3,3,2,1,3,0,0,0,0,0,1,1,1,1,5,3,2,1,2,4,9,16,15
273,1,0,15,0,1,1,2,2,4,5,2,2,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13
274,1,1,15,1,0,0,2,1,3,5,3,2,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,8,9
275,1,0,16,1,1,1,2,2,3,3,1,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9
